"Year","State","StateAbbr","PopLT72","Ntested","TotConfirmed","PctConfirmedBllGT10","ug_dl_5_9","ug_dl_10_14","ug_dl_15_19","ug_dl_20_24","ug_dl_25_44","ug_dl_45_69","ug_dl_GT70","ug_dl_GT5"
2013,"Minnesota","MN",263,568,156,0.21,15,78,260,64,15,28,1,40
1997,"Mississippi","MS",111,444,384,95.41,1,78,157,241,189,54,1,1
1998,"Mississippi","MS",108,570,362,54.49,1,82,153,208,172,42,1,1
1999,"Mississippi","MS",107,513,463,9.65,1,350,102,175,147,2,1,1
2000,"Mississippi","MS",112,38,141,1.52,1,472,218,70,26,1,2,1
2001,"Mississippi","MS",114,198,347,2.59,1,251,320,120,94,42,1,1
2002,"Mississippi","MS",114,293,385,2,1,264,48,172,139,2,20,1
2003,"Mississippi","MS",115,361,384,1.41,1,278,40,108,145,28,1,1
2004,"Mississippi","MS",119,394,344,0.99,1,229,329,108,33,42,2,1
2005,"Mississippi","MS",121,392,321,0.94,1,216,320,138,71,42,20,1
2006,"Mississippi","MS",122,389,308,0.86,1,208,278,99,117,28,1,1
2007,"Mississippi","MS",129,365,222,0.6,1,114,251,55,26,2,1,1
2008,"Mississippi","MS",135,393,205,0.48,1,97,201,70,60,28,1,1
2009,"Mississippi","MS",138,400,209,0.46,1,90,226,96,71,2,1,1
2010,"Mississippi","MS",120,411,153,0.39,84,81,203,51,71,28,2,88
2011,"Mississippi","MS",120,390,131,0.38,61,442,244,23,67,28,1,74
2012,"Mississippi","MS",120,396,135,0.38,57,454,201,42,85,28,1,66
2013,"Mississippi","MS",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Missouri","MO",280,391,365,12.12,1,174,15,192,168,58,41,1
1998,"Missouri","MO",276,399,364,11.35,1,176,10,171,166,72,37,1
1999,"Missouri","MO",274,418,335,9.77,1,173,9,164,148,60,28,1
2000,"Missouri","MO",282,450,336,8.68,1,175,8,153,171,57,28,1
2001,"Missouri","MO",283,485,263,5.15,1,153,316,115,99,48,20,1
2002,"Missouri","MO",283,488,197,4.26,1,57,299,97,88,24,33,1
2003,"Missouri","MO",284,520,193,3.81,1,58,279,74,76,30,1,1
2004,"Missouri","MO",289,547,164,2.57,1,25,237,65,42,37,20,1
2005,"Missouri","MO",291,524,63,2.29,1,5,190,56,52,22,31,1
2006,"Missouri","MO",303,560,31,1.47,1,447,149,243,230,89,1,1
2007,"Missouri","MO",308,565,495,1.06,1,384,109,233,179,12,20,1
2008,"Missouri","MO",313,584,438,0.73,1,330,62,172,125,42,1,1
2009,"Missouri","MO",317,587,441,0.74,1,333,62,199,120,28,1,1
2010,"Missouri","MO",302,25,481,0.84,97,362,95,212,231,42,2,108
2011,"Missouri","MO",302,589,363,0.53,81,254,35,169,139,1,1,89
2012,"Missouri","MO",302,569,429,0.7,74,295,66,169,185,63,1,87
2013,"Missouri","MO",302,226,4,0.55,111,391,121,249,243,9,1,120
1997,"Nevada","NV",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
1998,"Nevada","NV",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
1999,"Nevada","NV",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
2000,"Nevada","NV",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
2001,"Nevada","NV",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
2002,"Nevada","NV",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
2003,"Nevada","NV",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
2004,"Nevada","NV",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
2005,"Nevada","NV",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
2006,"Nevada","NV",80,1,257,0.24,1,147,2,1,1,1,1,1
2007,"Nevada","NV",96,509,132,0.22,1,435,213,2,123,1,1,1
2008,"Nevada","NV",103,21,210,0.19,1,95,2,155,123,1,1,1
2009,"Nevada","NV",106,81,142,0.14,1,456,254,2,80,1,1,1
2010,"Nevada","NV",73,116,237,0.18,33,120,213,2,153,1,1,54
2011,"Nevada","NV",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Nevada","NV",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Nevada","NV",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"New Hampshire","NH",464,179,380,3.19,1,222,52,191,198,54,2,1
1998,"New Hampshire","NH",463,174,389,3.53,1,249,56,215,170,54,1,1
1999,"New Hampshire","NH",465,138,396,3.87,1,257,65,184,159,54,20,1
2000,"New Hampshire","NH",489,123,379,3.58,1,255,51,151,114,2,2,1
2001,"New Hampshire","NH",490,114,320,2.89,1,207,338,101,135,28,1,1
2002,"New Hampshire","NH",490,142,322,2.73,1,209,336,151,104,42,2,1
2003,"New Hampshire","NH",487,139,341,2.86,1,213,344,144,108,63,1,1
2004,"New Hampshire","NH",485,152,339,2.74,1,211,328,131,157,84,2,1
2005,"New Hampshire","NH",486,141,296,2.25,1,143,329,96,131,1,1,1
2006,"New Hampshire","NH",491,150,285,2.09,1,134,298,125,131,2,2,1
2007,"New Hampshire","NH",488,177,243,1.68,1,115,296,111,78,1,1,1
2008,"New Hampshire","NH",478,180,232,1.51,1,112,281,75,221,63,1,1
2009,"New Hampshire","NH",466,173,155,1.26,1,89,234,23,236,28,2,1
2010,"New Hampshire","NH",434,151,144,1.15,40,80,178,51,33,2,1,44
2011,"New Hampshire","NH",434,137,117,1.02,35,461,168,16,33,2,1,42
2012,"New Hampshire","NH",434,113,97,0.86,8,415,140,16,26,1,2,14
2013,"New Hampshire","NH",434,132,89,0.76,121,420,123,247,123,2,1,4
1997,"New Jersey","NJ",383,77,199,23.22,1,445,259,231,219,87,12,1
1998,"New Jersey","NJ",374,39,177,21,1,407,208,211,203,82,37,1
1999,"New Jersey","NJ",373,539,65,20.8,1,345,179,174,149,75,33,1
2000,"New Jersey","NJ",387,126,276,2.83,1,35,301,236,238,8,23,1
2001,"New Jersey","NJ",388,166,258,2.06,1,18,282,190,202,7,41,1
2002,"New Jersey","NJ",388,187,79,1.26,1,474,240,76,107,50,20,1
2003,"New Jersey","NJ",381,170,192,1.83,1,41,289,110,118,37,33,1
2004,"New Jersey","NJ",385,202,196,1.71,1,49,297,113,100,44,33,1
2005,"New Jersey","NJ",382,214,189,1.52,1,44,273,100,103,40,31,1
2006,"New Jersey","NJ",384,220,191,1.49,1,53,275,80,91,30,28,1
2007,"New Jersey","NJ",380,218,181,1.35,1,39,247,95,75,33,2,1
2008,"New Jersey","NJ",378,65,20,0.99,1,423,131,22,242,12,1,1
2009,"New Jersey","NJ",377,33,466,0.74,1,339,90,223,201,12,1,1
2010,"New Jersey","NJ",372,227,40,0.73,1,433,166,41,41,27,31,1
2011,"New Jersey","NJ",372,223,30,0.69,100,427,148,33,36,9,1,114
2012,"New Jersey","NJ",372,224,503,0.53,87,380,105,240,245,22,2,101
2013,"New Jersey","NJ",372,216,480,0.48,86,346,92,245,226,14,20,99
1997,"New York","NY",59,426,215,4.55,2,102,217,14,12,18,25,2
1998,"New York","NY",57,419,211,4.22,2,96,215,58,43,15,17,2
1999,"New York","NY",54,414,133,3.41,2,65,174,30,21,6,15,2
2000,"New York","NY",55,425,101,2.58,2,436,117,246,233,99,11,2
2001,"New York","NY",56,417,83,2.06,2,382,112,220,217,86,11,2
2002,"New York","NY",56,413,472,1.81,2,348,93,204,200,77,39,2
2003,"New York","NY",48,415,450,1.6,2,309,89,205,200,86,5,2
2004,"New York","NY",47,434,447,1.42,2,306,75,201,195,81,41,2
2005,"New York","NY",46,431,414,1.31,2,300,63,189,180,58,7,2
2006,"New York","NY",51,447,446,1.27,2,304,77,194,188,71,28,2
2007,"New York","NY",49,440,369,0.99,2,237,39,168,162,60,5,2
2008,"New York","NY",50,433,326,0.83,2,169,345,145,134,40,33,2
2009,"New York","NY",52,439,277,0.73,2,163,331,134,134,53,31,2
2010,"New York","NY",45,445,325,0.73,51,165,342,139,144,73,39,68
2011,"New York","NY",45,448,267,0.61,47,155,307,132,119,52,31,57
2012,"New York","NY",45,371,139,0.43,16,72,194,49,51,89,1,25
2013,"New York","NY",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"North Carolina","NC",363,597,32,1.3,1,419,182,35,253,9,20,1
1998,"North Carolina","NC",365,595,12,1.1,1,397,151,233,242,89,1,1
1999,"North Carolina","NC",368,35,7,0.97,1,392,137,17,227,54,1,1
2000,"North Carolina","NC",369,66,33,1.08,1,431,165,22,242,89,28,1
2001,"North Carolina","NC",371,92,509,0.82,1,388,126,235,235,63,20,1
2002,"North Carolina","NC",371,95,493,0.75,1,376,111,229,210,42,2,1
2003,"North Carolina","NC",392,94,489,0.74,1,385,106,195,172,63,2,1
2004,"North Carolina","NC",394,274,216,0.93,1,108,232,51,55,2,1,1
2005,"North Carolina","NC",398,26,316,0.37,1,203,325,131,125,63,1,1
2006,"North Carolina","NC",407,127,380,0.37,1,263,35,151,117,84,2,1
2007,"North Carolina","NC",416,161,356,0.32,1,228,36,151,108,28,2,1
2008,"North Carolina","NC",423,186,317,0.25,1,203,339,111,125,28,1,1
2009,"North Carolina","NC",426,199,290,0.19,1,142,296,116,114,2,1,1
2010,"North Carolina","NC",411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"North Carolina","NC",411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"North Carolina","NC",411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"North Carolina","NC",412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Ohio","OH",482,602,114,14.14,1,414,173,11,9,23,25,1
1998,"Ohio","OH",476,22,109,13.28,1,412,171,10,5,13,12,1
1999,"Ohio","OH",468,102,84,8.23,1,381,115,5,241,93,41,1
2000,"Ohio","OH",484,63,470,7.08,1,305,31,250,228,82,5,1
2001,"Ohio","OH",480,98,449,5.92,1,303,27,227,211,90,15,1
2002,"Ohio","OH",477,130,413,4.81,1,245,24,213,204,88,15,1
2003,"Ohio","OH",472,156,372,3.98,1,235,13,188,188,87,31,1
2004,"Ohio","OH",469,124,328,3.36,1,170,352,150,137,57,33,1
2005,"Ohio","OH",462,188,279,2.55,1,162,330,146,141,60,28,1
2006,"Ohio","OH",467,182,261,2.1,1,61,317,127,105,48,39,1
2007,"Ohio","OH",460,207,259,1.79,1,59,295,126,102,53,14,1
2008,"Ohio","OH",459,204,194,1.68,1,50,290,106,100,33,41,1
2009,"Ohio","OH",458,163,75,1.29,1,7,229,72,61,46,5,1
2010,"Ohio","OH",447,157,37,0.92,19,421,186,40,35,22,31,26
2011,"Ohio","OH",447,171,59,1.09,119,465,194,61,48,35,28,23
2012,"Ohio","OH",447,189,64,1.11,118,471,202,69,57,32,31,22
2013,"Ohio","OH",447,191,45,0.93,112,450,180,46,42,27,31,20
1997,"Oklahoma","OK",146,571,301,3.72,1,201,278,88,127,2,1,1
1998,"Oklahoma","OK",147,511,137,2.17,1,75,162,60,15,42,1,1
1999,"Oklahoma","OK",148,540,106,1.47,1,442,119,237,67,2,1,1
2000,"Oklahoma","OK",150,576,127,1.62,1,70,201,247,206,1,1,1
2001,"Oklahoma","OK",151,51,117,1.22,1,452,185,23,40,2,1,1
2002,"Oklahoma","OK",151,86,117,1.13,1,437,209,23,33,28,2,1
2003,"Oklahoma","OK",155,104,125,1.16,1,468,185,34,26,1,1,1
2004,"Oklahoma","OK",156,149,118,0.99,1,459,181,221,55,28,1,1
2005,"Oklahoma","OK",158,262,220,1,1,105,209,96,85,2,1,1
2006,"Oklahoma","OK",171,297,213,0.78,1,99,226,75,40,1,1,1
2007,"Oklahoma","OK",173,249,148,0.81,1,68,209,70,78,1,1,1
2008,"Oklahoma","OK",175,263,107,0.56,1,405,158,75,40,1,20,1
2009,"Oklahoma","OK",180,368,152,0.47,1,77,232,51,49,42,1,1
2010,"Oklahoma","OK",176,385,119,0.36,11,449,185,60,40,2,2,15
2011,"Oklahoma","OK",176,384,135,0.4,13,451,197,75,71,2,1,18
2012,"Oklahoma","OK",176,374,151,0.45,7,69,234,55,60,54,1,13
2013,"Oklahoma","OK",176,388,155,0.46,4,84,205,70,33,54,1,10
1997,"Oregon","OR",127,383,473,1.62,1,352,44,16,221,2,1,1
1998,"Oregon","OR",132,422,85,1.73,1,379,135,16,236,1,1,1
1999,"Oregon","OR",136,456,92,1.82,1,417,154,247,181,2,1,1
2000,"Oregon","OR",139,467,90,1.57,1,417,119,206,247,1,20,1
2001,"Oregon","OR",140,541,502,1.09,1,373,123,16,221,1,2,1
2002,"Oregon","OR",140,19,496,0.86,1,349,146,237,247,28,1,1
2003,"Oregon","OR",144,43,506,0.86,1,369,135,16,221,1,20,1
2004,"Oregon","OR",143,106,452,0.53,1,319,67,221,181,2,1,1
2005,"Oregon","OR",145,71,442,0.57,1,326,78,180,153,1,1,1
2006,"Oregon","OR",149,76,439,0.55,1,312,60,221,206,2,1,1
2007,"Oregon","OR",153,112,398,0.42,1,294,346,180,123,1,1,1
2008,"Oregon","OR",154,83,393,0.44,1,258,53,82,236,1,2,1
2009,"Oregon","OR",157,147,387,0.36,1,248,60,206,153,1,1,1
2010,"Oregon","OR",152,153,361,0.32,72,210,332,221,221,1,2,83
2011,"Oregon","OR",152,121,311,0.27,65,204,283,180,80,1,1,71
2012,"Oregon","OR",152,118,286,0.23,68,128,332,155,80,1,1,72
2013,"Oregon","OR",152,460,108,0.2,29,411,254,1,2,1,1,38
1997,"Pennsylvania","PA",473,356,471,24.19,1,241,118,7,4,100,18,1
1998,"Pennsylvania","PA",450,401,490,20.02,1,308,113,3,246,86,11,1
1999,"Pennsylvania","PA",446,483,410,9.71,1,234,28,225,212,77,37,1
2000,"Pennsylvania","PA",454,528,418,9.14,1,243,29,232,225,71,2,1
2001,"Pennsylvania","PA",456,409,330,9.41,1,166,3,170,173,96,7,1
2002,"Pennsylvania","PA",456,443,370,9.84,1,232,17,197,160,51,39,1
2003,"Pennsylvania","PA",445,550,412,8.14,1,302,19,179,163,62,33,1
2004,"Pennsylvania","PA",448,97,415,5.49,1,301,21,185,190,83,24,1
2005,"Pennsylvania","PA",449,162,416,4.67,1,246,22,216,214,98,26,1
2006,"Pennsylvania","PA",457,164,411,4.5,1,299,12,203,194,94,22,1
2007,"Pennsylvania","PA",461,158,331,3.17,1,171,357,148,165,72,11,1
2008,"Pennsylvania","PA",470,169,280,2.68,1,164,340,137,136,64,22,1
2009,"Pennsylvania","PA",475,192,270,2.23,1,151,318,128,137,68,11,1
2010,"Pennsylvania","PA",451,193,260,1.99,32,60,321,112,101,59,11,51
2011,"Pennsylvania","PA",451,190,198,1.83,26,51,287,114,111,55,39,39
2012,"Pennsylvania","PA",451,185,182,1.6,21,33,277,98,92,45,5,32
2013,"Pennsylvania","PA",451,160,80,1.35,18,16,225,52,77,48,37,28
1997,"Rhode Island","RI",417,340,201,8.81,1,55,304,122,109,40,28,1
1998,"Rhode Island","RI",409,344,186,7.43,1,45,264,92,79,32,11,1
1999,"Rhode Island","RI",410,346,175,6.85,1,37,248,72,74,31,28,1
2000,"Rhode Island","RI",418,342,163,6.08,1,22,230,62,69,31,20,1
2001,"Rhode Island","RI",419,355,162,5.84,1,21,220,69,65,9,20,1
2002,"Rhode Island","RI",419,354,67,5.12,1,17,198,36,31,9,2,1
2003,"Rhode Island","RI",414,348,39,3.9,1,453,161,251,240,74,1,1
2004,"Rhode Island","RI",413,333,27,3.9,1,439,149,241,213,5,2,1
2005,"Rhode Island","RI",405,351,4,2.92,1,401,111,228,220,54,28,1
2006,"Rhode Island","RI",404,350,476,2.35,1,356,88,217,193,54,1,1
2007,"Rhode Island","RI",403,339,430,1.89,1,314,54,187,169,84,1,1
2008,"Rhode Island","RI",401,334,381,1.61,1,276,354,151,108,28,1,1
2009,"Rhode Island","RI",400,315,355,1.54,1,257,344,144,26,1,1,1
2010,"Rhode Island","RI",390,311,314,1.32,37,206,315,133,98,28,1,46
2011,"Rhode Island","RI",390,306,253,1.03,14,181,263,42,85,42,2,41
2012,"Rhode Island","RI",390,310,236,0.88,9,126,209,91,78,28,1,16
2013,"Rhode Island","RI",390,301,222,0.83,5,99,278,55,67,2,2,12
1997,"Texas","TX",28,2,376,3.89,1,281,346,123,1,28,1,1
1998,"Texas","TX",30,564,229,2.74,1,110,254,123,2,1,1,1
1999,"Texas","TX",32,596,422,6.35,1,120,332,70,67,2,2,1
2000,"Texas","TX",29,79,305,2.84,1,122,349,172,184,54,2,1
2001,"Texas","TX",31,213,66,1.01,1,9,195,59,56,12,31,1
2002,"Texas","TX",31,244,170,1.05,1,32,236,65,66,29,28,1
2003,"Texas","TX",53,288,81,0.79,1,20,206,65,63,22,2,1
2004,"Texas","TX",58,317,61,0.56,1,3,187,68,39,22,20,1
2005,"Texas","TX",60,304,42,0.51,1,440,165,63,46,84,20,1
2006,"Texas","TX",63,530,271,0.47,1,154,323,140,126,36,39,1
2007,"Texas","TX",64,525,184,0.33,1,34,267,109,96,37,28,1
2008,"Texas","TX",65,490,71,0.27,1,6,204,79,68,48,2,1
2009,"Texas","TX",66,498,73,0.27,1,11,228,57,54,33,39,1
2010,"Texas","TX",61,362,499,0.26,120,364,125,219,23,89,28,21
2011,"Texas","TX",61,254,394,0.26,82,253,46,207,205,97,1,90
2012,"Texas","TX",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Texas","TX",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Vermont","VT",247,464,284,4.55,1,137,319,99,93,2,1,1
1998,"Vermont","VT",235,458,232,3.84,1,105,260,108,49,74,1,1
1999,"Vermont","VT",222,457,141,2.73,1,464,197,104,49,1,1,1
2000,"Vermont","VT",250,459,148,2.75,1,71,244,23,49,2,1,1
2001,"Vermont","VT",240,461,117,2.24,1,430,226,64,236,28,1,1
2002,"Vermont","VT",238,463,120,2.19,1,459,178,51,33,2,1,1
2003,"Vermont","VT",233,466,113,2,1,434,162,55,40,28,1,1
2004,"Vermont","VT",234,542,125,1.72,1,443,232,60,15,2,1,1
2005,"Vermont","VT",230,545,102,1.34,1,420,185,180,247,28,1,1
2006,"Vermont","VT",229,573,99,1.29,1,417,162,206,221,1,39,1
2007,"Vermont","VT",225,575,494,0.99,1,379,107,247,206,1,1,1
2008,"Vermont","VT",224,580,482,0.88,1,359,140,206,123,1,1,1
2009,"Vermont","VT",223,17,425,0.59,1,281,78,221,80,28,1,1
2010,"Vermont","VT",213,7,433,0.66,124,312,83,123,206,1,1,5
2011,"Vermont","VT",213,10,442,0.68,123,288,78,180,236,28,20,6
2012,"Vermont","VT",213,13,433,0.65,115,317,44,180,221,2,1,124
2013,"Vermont","VT",213,512,319,0.51,102,179,310,206,181,2,1,104
1997,"Virginia","VA",342,89,484,6.73,1,315,134,29,19,74,28,1
1998,"Virginia","VA",340,273,498,3.95,1,340,139,26,244,33,2,1
1999,"Virginia","VA",341,280,379,2.05,1,220,72,202,120,63,1,1
2000,"Virginia","VA",345,287,424,2.39,1,287,71,175,198,42,1,1
2001,"Virginia","VA",346,373,358,1.18,1,202,47,196,187,12,1,1
2002,"Virginia","VA",346,429,399,1.09,1,254,56,184,210,5,1,1
2003,"Virginia","VA",347,428,340,0.8,1,196,353,173,159,63,2,1
2004,"Virginia","VA",351,491,407,0.89,1,296,35,196,150,97,1,1
2005,"Virginia","VA",354,504,386,0.76,1,275,38,141,145,74,2,1
2006,"Virginia","VA",361,556,389,0.65,1,276,356,161,164,89,1,1
2007,"Virginia","VA",362,558,357,0.55,1,226,353,173,161,2,2,1
2008,"Virginia","VA",364,581,343,0.45,1,217,339,120,139,42,1,1
2009,"Virginia","VA",366,27,350,0.43,1,230,313,120,135,89,1,1
2010,"Virginia","VA",355,23,299,0.34,59,183,285,144,135,54,1,75
2011,"Virginia","VA",355,600,249,0.28,53,124,244,138,120,63,1,63
2012,"Virginia","VA",355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Virginia","VA",356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Washington","WA",300,327,315,1.02,1,188,213,206,221,1,1,1
1998,"Washington","WA",304,321,337,1.22,1,210,332,82,181,1,1,1
1999,"Washington","WA",305,319,250,0.9,1,120,170,155,153,2,1,1
2000,"Washington","WA",310,325,337,1.11,1,138,213,247,206,2,2,1
2001,"Washington","WA",311,323,293,0.92,1,138,213,123,181,2,1,1
2002,"Washington","WA",311,462,345,0.64,1,179,78,2,206,1,1,1
2003,"Washington","WA",312,420,286,0.56,1,95,53,82,123,2,1,1
2004,"Washington","WA",318,380,286,0.66,1,188,332,82,1,1,1,1
2005,"Washington","WA",319,381,309,0.75,1,188,283,2,206,28,1,1
2006,"Washington","WA",323,382,281,0.62,1,120,254,155,153,2,1,1
2007,"Washington","WA",328,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
2008,"Washington","WA",335,72,311,0.3,1,204,310,82,153,1,1,1
2009,"Washington","WA",339,181,349,0.28,1,188,346,247,153,2,1,1
2010,"Washington","WA",333,221,345,0.23,89,215,332,180,123,1,1,93
2011,"Washington","WA",333,197,237,0.15,69,120,213,123,80,1,1,73
2012,"Washington","WA",333,210,150,0.1,78,435,254,2,153,1,1,84
2013,"Washington","WA",333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"West Virginia","WV",41,45,243,2.26,1,127,269,99,55,42,1,1
1998,"West Virginia","WV",36,16,228,2.26,1,112,276,70,33,2,1,1
1999,"West Virginia","WV",33,577,138,1.74,1,79,197,42,206,2,1,1
2000,"West Virginia","WV",35,48,145,1.47,1,82,201,34,247,1,2,1
2001,"West Virginia","WV",34,74,119,1.21,1,454,188,55,247,2,1,1
2002,"West Virginia","WV",34,117,121,1.09,1,470,162,42,247,2,1,1
2003,"West Virginia","WV",35,146,135,1.09,1,461,154,91,71,2,2,1
2004,"West Virginia","WV",37,154,130,1.05,1,68,197,51,206,2,1,1
2005,"West Virginia","WV",39,136,98,0.83,1,443,107,23,181,2,1,1
2006,"West Virginia","WV",40,109,94,0.86,1,408,140,247,33,1,1,1
2007,"West Virginia","WV",42,75,87,0.83,1,390,100,247,15,42,1,1
2008,"West Virginia","WV",44,108,85,0.76,1,402,100,221,236,1,1,1
2009,"West Virginia","WV",43,84,86,0.8,1,415,60,34,181,2,1,1
2010,"West Virginia","WV",38,20,465,0.71,107,336,78,237,236,1,1,115
2011,"West Virginia","WV",38,47,439,0.58,94,310,94,180,206,1,1,106
2012,"West Virginia","WV",38,42,422,0.53,90,258,67,237,206,2,1,95
2013,"West Virginia","WV",38,52,349,0.37,79,225,44,123,80,1,1,91
1997,"Wisconsin","WI",244,496,445,10.24,1,242,30,234,218,79,11,1
1998,"Wisconsin","WI",243,503,368,7.66,1,178,18,189,175,59,39,1
1999,"Wisconsin","WI",242,517,332,6.46,1,168,6,163,152,51,31,1
2000,"Wisconsin","WI",251,514,278,5.56,1,161,334,152,140,38,5,1
2001,"Wisconsin","WI",252,536,273,4.62,1,157,337,139,122,46,33,1
2002,"Wisconsin","WI",252,549,265,4.12,1,150,314,122,112,45,31,1
2003,"Wisconsin","WI",253,548,195,3.48,1,52,300,102,95,29,20,1
2004,"Wisconsin","WI",256,557,185,3,1,46,274,79,72,24,20,1
2005,"Wisconsin","WI",259,553,172,2.7,1,31,246,78,61,22,31,1
2006,"Wisconsin","WI",262,551,58,1.95,1,469,189,54,37,9,31,1
2007,"Wisconsin","WI",266,586,55,1.71,1,466,200,39,44,9,2,1
2008,"Wisconsin","WI",269,594,38,1.38,1,438,164,40,23,29,1,1
2009,"Wisconsin","WI",272,24,23,1.16,17,418,150,255,17,97,20,24
2010,"Wisconsin","WI",267,592,507,1.03,110,372,124,251,18,5,20,119
2011,"Wisconsin","WI",267,567,487,1,99,354,104,251,250,97,2,111
2012,"Wisconsin","WI",267,599,492,0.92,95,342,110,21,255,12,37,102
2013,"Wisconsin","WI",267,588,460,0.81,83,325,66,230,242,9,20,96
1997,"U.S. Totals","US",86,3,104,7.61,1,403,163,43,27,4,21,1
1998,"U.S. Totals","US",84,4,95,6.5,1,400,147,24,248,3,16,1
1999,"U.S. Totals","US",83,5,497,5.03,1,365,120,248,223,95,8,1
2000,"U.S. Totals","US",85,237,486,3.96,1,353,101,238,222,92,13,1
2001,"U.S. Totals","US",87,238,461,3.03,1,327,84,222,207,91,9,1
2002,"U.S. Totals","US",88,240,437,2.56,1,313,69,182,182,78,6,1
2003,"U.S. Totals","US",89,318,453,2.27,1,320,68,181,183,76,42,1
2004,"U.S. Totals","US",90,320,402,1.76,1,269,45,157,155,69,4,1
2005,"U.S. Totals","US",98,324,391,1.53,1,259,34,158,156,65,3,1
2006,"U.S. Totals","US",100,377,377,1.2,1,252,33,156,154,61,43,1
2007,"U.S. Totals","US",116,329,312,0.94,1,194,312,124,124,56,38,1
2008,"U.S. Totals","US",117,378,287,0.72,1,133,284,86,83,49,40,1
2009,"U.S. Totals","US",118,379,240,0.61,1,111,257,85,82,47,36,1
2010,"U.S. Totals","US",99,376,231,0.6,49,101,256,83,81,43,34,58
2011,"U.S. Totals","US",99,326,202,0.56,34,86,216,15,13,39,27,56
2012,"U.S. Totals","US",99,239,123,0.62,24,458,176,9,10,26,32,30
2013,"U.S. Totals","US",99,233,91,0.56,109,383,114,253,3,19,25,116
